,style,envios,ventas,ratio_ven
0,boho,1883572,743408,39.46798954327203
1,boho/casual,1935628,804154,41.54486295920497
2,boho/casual/street,13657,5522,40.43347733762906
3,boho/classic,4827529,1944698,40.28350735956221
4,boho/classic/casual,6754,2596,38.43648208469055
5,boho/classic/street,19572,8468,43.265890047005925
6,boho/minimal,395776,150878,38.122069049159116
7,boho/minimal/classic,25466,10008,39.299458100997406
8,boho/street,1866959,755850,40.48562394782103
9,casual,1163286,492199,42.31109116760624
10,casual/street,3739528,1610336,43.06254693105654
11,classic,2339510,936215,40.01756778128753
12,classic/casual,1504030,617060,41.02710717206438
13,classic/casual/street,277949,113699,40.90642527945774
14,classic/street,810871,325611,40.15570910786056
15,minimal,87390,33351,38.16340542396155
16,minimal/casual,232695,95679,41.11777219106556
17,minimal/classic,2278245,923435,40.53273462687288
18,minimal/classic/casual,5962,2882,48.33948339483395
19,minimal/classic/street,29582,9768,33.02007977824353
20,minimal/street,217741,83114,38.171038068163554
21,night,146237,54227,37.08158673933409
22,night/boho,143650,54894,38.21371388792203
23,night/boho/classic,26179,9438,36.05179724206425
24,night/boho/street,47552,18828,39.594549125168236
25,night/casual,17417,6908,39.66239880576448
26,night/classic,259710,110337,42.484694466905395
27,night/minimal,16934,8008,47.28947679225227
28,night/minimal/classic,7125,2442,34.27368421052632
29,night/street,437443,167177,38.216864825817304
30,street,1362787,557665,40.92092161137434
